Wavelength,Intensity
392.27272727272725,3.1452777777777774
393.54545454545456,2.767499999999999
394.8181818181818,3.0647222222222217
396.0909090909091,3.306388888888889
397.3636363636364,3.6452777777777774
398.6363636363636,3.850833333333333
399.9090909090909,4.414722222222221
401.1818181818182,4.986944444444444
402.4545454545455,6.134166666666666
403.72727272727275,8.773055555555555
405.0,13.91472222222222
406.27272727272725,18.334166666666665
407.54545454545456,21.909166666666664
408.8181818181818,23.661944444444444
410.0909090909091,24.10361111111111
411.3636363636364,24.425833333333333
412.6363636363636,25.1925
413.9090909090909,25.798055555555553
415.1818181818182,26.198055555555552
416.4545454545455,26.511944444444442
417.72727272727275,26.35083333333333
419.0,26.323055555555552
420.27272727272725,26.675833333333333
421.54545454545456,26.848055555555558
422.8181818181818,27.400833333333335
424.0909090909091,27.498055555555556
425.3636363636364,27.473055555555558
426.6363636363636,26.698055555555552
427.9090909090909,24.948055555555555
429.1818181818182,23.759166666666665
430.45454545454544,23.284166666666664
431.72727272727275,23.311944444444443
433.0,23.373055555555556
434.27272727272725,23.39527777777778
435.54545454545456,23.448055555555555
436.8181818181818,23.5175
438.0909090909091,23.4175
439.3636363636364,23.070277777777775
440.6363636363636,23.184166666666666
441.9090909090909,23.203611111111112
443.1818181818182,22.889722222222222
444.45454545454544,23.009166666666665
445.72727272727275,22.859166666666667
447.0,22.875833333333333
448.27272727272725,22.814722222222223
449.54545454545456,22.4925
450.8181818181818,22.298055555555553
452.0909090909091,21.950833333333332
453.3636363636364,21.80361111111111
454.6363636363636,21.561944444444443
455.9090909090909,21.784166666666664
457.1818181818182,21.53972222222222
458.45454545454544,21.55361111111111
459.72727272727275,21.384166666666665
461.0,21.30361111111111
462.27272727272725,21.356388888888887
463.54545454545456,21.286944444444444
464.8181818181818,21.409166666666664
466.0909090909091,21.659166666666664
467.3636363636364,21.453611111111112
468.6363636363636,22.15361111111111
469.9090909090909,22.686944444444443
471.1818181818182,23.03972222222222
472.45454545454544,23.661944444444444
473.72727272727275,24.198055555555555
475.0,24.717499999999998
476.27272727272725,24.748055555555556
477.54545454545456,24.8175
478.8181818181818,24.9175
480.0909090909091,25.6675
481.3636363636364,25.420277777777777
482.6363636363636,25.65083333333333
483.9090909090909,25.52861111111111
485.1818181818182,25.075833333333332
486.45454545454544,24.273055555555555
487.72727272727275,23.08138888888889
489.0,21.495277777777776
490.27272727272725,20.425833333333333
491.54545454545456,18.909166666666664
